Trade-#,Instrument,Account,Strategy,Market pos.,Quantity,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cumprofit,Commission,MAE,MFE,ETD,Bars,Outcome,Side
1,NQ 03-20,Replay101,20_20,Short,1,8828.5,8823.25,01/02/2020 8:01 AM,01/02/2020 8:02 AM,Entry,Target1,105,105,0,15,115,10,0,-1,-1
2,NQ 03-20,Replay101,20_20,Long,1,8825.5,8820.75,01/02/2020 8:17 AM,01/02/2020 8:20 AM,Entry,Stop1,-95,10,0,100,20,115,0,-1,1
3,NQ 03-20,Replay101,20_20,Short,1,8820,8825,01/02/2020 8:30 AM,01/02/2020 8:30 AM,Entry,Stop1,-100,-90,0,100,30,130,0,-1,-1
4,NQ 03-20,Replay101,20_20,Long,1,8820.5,8825.5,01/02/2020 8:32 AM,01/02/2020 8:33 AM,Entry,Target1,100,10,0,70,100,0,0,1,1
5,NQ 03-20,Replay101,20_20,Short,1,8833.75,8838.5,01/02/2020 8:34 AM,01/02/2020 8:35 AM,Entry,Stop1,-95,-85,0,100,10,105,0,-1,-1
6,NQ 03-20,Replay101,20_20,Short,1,8840,8844.75,01/02/2020 8:36 AM,01/02/2020 8:36 AM,Entry,Stop1,-95,-180,0,100,10,105,0,-1,-1
7,NQ 03-20,Replay101,20_20,Short,1,8846.5,8851.5,01/02/2020 8:37 AM,01/02/2020 8:40 AM,Entry,Stop1,-100,-280,0,100,85,185,0,-1,-1
8,NQ 03-20,Replay101,20_20,Short,1,8848.5,8843.5,01/02/2020 8:40 AM,01/02/2020 8:42 AM,Entry,Target1,100,-180,0,30,100,0,0,1,-1
9,NQ 03-20,Replay101,20_20,Short,1,8838.75,8833.75,01/02/2020 8:49 AM,01/02/2020 8:52 AM,Entry,Target1,100,-80,0,60,100,0,0,1,-1
10,NQ 03-20,Replay101,20_20,Long,1,8838,8834.75,01/02/2020 8:52 AM,01/02/2020 8:54 AM,Entry,Stop1,-65,-145,0,100,0,0,0,-1,1
11,NQ 03-20,Replay101,20_20,Long,1,8836.5,8841.5,01/02/2020 8:54 AM,01/02/2020 8:56 AM,Entry,Target1,100,-45,0,15,100,0,0,1,1
12,NQ 03-20,Replay101,20_20,Short,1,8845.25,8840.25,01/02/2020 9:00 AM,01/02/2020 9:01 AM,Entry,Target1,100,55,0,5,100,0,0,1,-1
13,NQ 03-20,Replay101,20_20,Long,1,8837.75,8833.25,01/02/2020 9:03 AM,01/02/2020 9:11 AM,Entry,Stop1,-90,-35,0,95,75,165,0,-1,1
14,NQ 03-20,Replay101,20_20,Long,1,8814.25,8819.25,01/02/2020 9:17 AM,01/02/2020 9:18 AM,Entry,Target1,100,65,0,40,100,0,0,1,1
15,NQ 03-20,Replay101,20_20,Short,1,8811.75,8806.75,01/02/2020 9:21 AM,01/02/2020 9:23 AM,Entry,Target1,100,165,0,70,100,0,0,1,-1
16,NQ 03-20,Replay101,20_20,Short,1,8803.75,8808.75,01/02/2020 9:24 AM,01/02/2020 9:24 AM,Entry,Stop1,-100,65,0,100,10,110,0,-1,-1
17,NQ 03-20,Replay101,20_20,Short,1,8806.5,8811.5,01/02/2020 9:25 AM,01/02/2020 9:26 AM,Entry,Stop1,-100,-35,0,100,25,125,0,-1,-1
18,NQ 03-20,Replay101,20_20,Short,1,8815,8810,01/02/2020 9:30 AM,01/02/2020 9:32 AM,Entry,Target1,100,65,0,60,100,0,0,1,-1
19,NQ 03-20,Replay101,20_20,Long,1,8814.25,8809.25,01/02/2020 9:32 AM,01/02/2020 9:38 AM,Entry,Stop1,-100,-35,0,100,60,160,0,-1,1
20,NQ 03-20,Replay101,20_20,Long,1,8810.5,8815.5,01/02/2020 9:39 AM,01/02/2020 9:42 AM,Entry,Target1,100,65,0,45,100,0,0,1,1
21,NQ 03-20,Replay101,20_20,Short,1,8815.25,8820.25,01/02/2020 9:48 AM,01/02/2020 9:55 AM,Entry,Stop1,-100,-35,0,100,85,185,0,-1,-1
22,NQ 03-20,Replay101,20_20,Long,1,8830.25,8825.25,01/02/2020 10:07 AM,01/02/2020 10:30 AM,Entry,Stop1,-100,-135,0,100,75,175,0,-1,1
23,NQ 03-20,Replay101,20_20,Long,1,8810.5,8815.5,01/02/2020 10:36 AM,01/02/2020 10:38 AM,Entry,Target1,100,-35,0,0,100,0,0,1,1
24,NQ 03-20,Replay101,20_20,Short,1,8828.75,8833.75,01/02/2020 11:15 AM,01/02/2020 11:16 AM,Entry,Stop1,-100,-135,0,100,10,110,0,-1,-1
25,NQ 03-20,Replay101,20_20,Short,1,8841.25,8836.25,01/02/2020 11:43 AM,01/02/2020 12:17 PM,Entry,Target1,100,-35,0,70,100,0,0,1,-1
26,NQ 03-20,Replay101,20_20,Long,1,8840.5,8835.75,01/02/2020 12:21 PM,01/02/2020 12:42 PM,Entry,Stop1,-95,-130,0,100,0,0,0,-1,1
27,NQ 03-20,Replay101,20_20,Short,1,8838.75,8843.75,01/02/2020 12:54 PM,01/02/2020 12:57 PM,Entry,Stop1,-100,-230,0,100,0,0,0,-1,-1
28,NQ 03-20,Replay101,20_20,Short,1,8863.75,8868.75,01/02/2020 2:19 PM,01/02/2020 2:34 PM,Entry,Stop1,-100,-330,0,100,10,110,0,-1,-1
29,NQ 03-20,Replay101,20_20,Long,1,8889.25,8894.25,01/02/2020 3:01 PM,01/02/2020 3:09 PM,Entry,Target1,100,-230,0,30,100,0,0,1,1
30,NQ 03-20,Replay101,20_20,Long,1,8902,8897,01/02/2020 6:06 PM,01/02/2020 7:36 PM,Entry,Stop1,-100,-330,0,100,90,190,0,-1,1
31,NQ 03-20,Replay101,20_20,Long,1,8875.5,8870.5,01/02/2020 8:00 PM,01/02/2020 8:06 PM,Entry,Stop1,-100,-430,0,100,40,140,0,-1,1
32,NQ 03-20,Replay101,20_20,Long,1,8857,8852,01/02/2020 8:21 PM,01/02/2020 8:21 PM,Entry,Stop1,-100,-530,0,100,0,0,0,-1,1
33,NQ 03-20,Replay101,20_20,Long,1,8845.5,8840.5,01/02/2020 8:27 PM,01/02/2020 8:27 PM,Entry,Stop1,-100,-630,0,100,40,140,0,-1,1
34,NQ 03-20,Replay101,20_20,Short,1,8851,8846,01/02/2020 8:37 PM,01/02/2020 8:39 PM,Entry,Target1,100,-530,0,30,100,0,0,1,-1
